"Population by age, type of locality, religious affiliation, and sex",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Age/Type of locality, All religions ,,,, No religion ,,,, Christian ,,, Islam ,,,, Traditional ,,,, Other ,,,,Age/Type of locality
, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female , Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,,
All localities,"1,678,809","790,301","888,508",,"102,429","67,336","35,093",,"1,189,340","535,545","653,795","298,424","146,820","151,604",,"75,009","33,983","41,026",,"13,607","6,617","6,990",,All localities
Urban,"955,698","455,204","500,494",,"43,169","29,975","13,194",,"727,929","331,728","396,201","167,638","84,903","82,735",,"8,978","4,559","4,419",,"7,984","4,039","3,945",,Urban
Rural,"723,111","335,097","388,014",,"59,260","37,361","21,899",,"461,411","203,817","257,594","130,786","61,917","68,869",,"66,031","29,424","36,607",,"5,623","2,578","3,045",,Rural
   35 - 39  ,,,,,,,,,,,,,,,,,,,,,,,,   35 - 39  
All localities,"1,421,403","676,768","744,635",,"94,209","63,725","30,484",,"1,005,671","451,107","554,564","240,983","123,439","117,544",,"68,777","32,910","35,867",,"11,763","5,587","6,176",,All localities
Urban,"781,852","373,678","408,174",,"38,436","27,180","11,256",,"594,873","269,157","325,716","133,284","69,537","63,747",,"8,751","4,528","4,223",,"6,508","3,276","3,232",,Urban
Rural,"639,551","303,090","336,461",,"55,773","36,545","19,228",,"410,798","181,950","228,848","107,699","53,902","53,797",,"60,026","28,382","31,644",,"5,255","2,311","2,944",,Rural
   40 - 44  ,,,,,,,,,,,,,,,,,,,,,,,,   40 - 44  
All localities,"1,186,350","572,620","613,730",,"82,845","56,967","25,878",,"832,325","378,051","454,274","192,419","99,856","92,563",,"68,592","32,822","35,770",,"10,169","4,924","5,245",,All localities
Urban,"632,049","304,875","327,174",,"32,688","23,470","9,218",,"481,318","219,981","261,337","104,072","54,267","49,805",,"8,376","4,371","4,005",,"5,595","2,786","2,809",,Urban
Rural,"554,301","267,745","286,556",,"50,157","33,497","16,660",,"351,007","158,070","192,937","88,347","45,589","42,758",,"60,216","28,451","31,765",,"4,574","2,138","2,436",,Rural
   45 - 49  ,,,,,,,,,,,,,,,,,,,,,,,,   45 - 49  
All localities,"938,098","452,975","485,123",,"64,634","45,245","19,389",,"667,453","299,697","367,756","140,969","75,157","65,812",,"56,885","29,003","27,882",,"8,157","3,873","4,284",,All localities
Urban,"487,192","231,146","256,046",,"24,982","18,152","6,830",,"374,547","167,076","207,471","76,041","40,001","36,040",,"7,356","3,814","3,542",,"4,266","2,103","2,163",,Urban
Rural,"450,906","221,829","229,077",,"39,652","27,093","12,559",,"292,906","132,621","160,285","64,928","35,156","29,772",,"49,529","25,189","24,340",,"3,891","1,770","2,121",,Rural
   50 - 54  ,,,,,,,,,,,,,,,,,,,,,,,,   50 - 54  
All localities,"833,098","394,600","438,498",,"57,133","39,131","18,002",,"591,177","259,292","331,885","120,949","63,804","57,145",,"56,425","28,799","27,626",,"7,414","3,574","3,840",,All localities
Urban,"421,478","195,556","225,922",,"20,868","14,901","5,967",,"325,776","141,925","183,851","63,765","33,159","30,606",,"7,245","3,658","3,587",,"3,824","1,913","1,911",,Urban
